iter	Passed	Remaining
811	2859	662
812	2862	658
813	2865	654
814	2867	650
815	2869	647
816	2873	643
817	2875	639
818	2878	636
819	2881	632
820	2884	628
821	2886	625
822	2889	621
823	2892	617
824	2894	614
825	2897	610
826	2899	606
827	2903	603
828	2905	599
829	2909	595
830	2913	592
831	2915	588
832	2919	585
833	2924	582
834	2927	578
835	2930	574
836	2932	571
837	2936	567
838	2938	563
839	2942	560
840	2944	556
841	2947	553
842	2949	549
843	2952	545
844	2955	542
845	2957	538
846	2960	534
847	2962	530
848	2965	527
849	2969	523
850	2971	520
851	2974	516
852	2976	512
853	2979	509
854	2981	505
855	2984	502
856	2986	498
857	2989	494
858	2992	491
859	2995	487
860	2998	484
861	3000	480
862	3006	477
863	3008	473
864	3011	470
865	3014	466
866	3017	462
867	3020	459
868	3022	455
869	3026	452
870	3028	448
871	3032	445
872	3036	441
873	3039	438
874	3042	434
875	3044	430
876	3048	427
877	3051	423
878	3054	420
879	3057	416
880	3059	413
881	3062	409
882	3064	406
883	3067	402
884	3070	398
885	3072	395
886	3075	391
887	3077	388
888	3080	384
889	3083	381
890	3085	377
891	3088	373
892	3090	370
893	3093	366
894	3096	363
895	3098	359
896	3101	356
897	3103	352
898	3106	348
899	3109	345
900	3111	341
901	3114	338
902	3117	334
903	3119	331
904	3122	327
905	3124	324
906	3127	320
907	3129	317
908	3132	313
909	3135	310
910	3137	306
911	3140	303
912	3143	299
913	3147	296
914	3150	292
915	3153	289
916	3155	285
917	3158	282
918	3160	278
919	3163	275
920	3166	271
921	3168	268
922	3170	264
923	3173	261
924	3175	257
925	3180	254
926	3182	250
927	3184	247
928	3187	243
929	3190	240
930	3192	236
931	3195	233
932	3197	229
933	3200	226
934	3203	222
935	3207	219
936	3214	216
937	3218	212
938	3220	209
939	3223	205
940	3225	202
941	3228	198
942	3230	195
943	3234	191
944	3236	188
945	3240	184
946	3242	181
947	3244	177
948	3247	174
949	3249	171
950	3252	167
951	3260	164
952	3267	161
953	3270	157
954	3272	154
955	3275	150
956	3277	147
957	3280	143
958	3282	140
959	3285	136
960	3288	133
961	3290	129
962	3296	126
963	3299	123
964	3303	119
965	3306	116
966	3309	112
967	3311	109
968	3314	106
969	3319	102
970	3321	99
971	3323	95
972	3326	92
973	3328	88
974	3333	85
975	3335	82
976	3338	78
977	3340	75
978	3343	71
979	3345	68
980	3348	64
981	3350	61
982	3352	57
983	3355	54
984	3359	51
985	3362	47
986	3364	44
987	3367	40
988	3369	37
989	3371	34
990	3374	30
991	3377	27
992	3379	23
993	3382	20
994	3385	17
995	3388	13
996	3395	10
997	3402	6
998	3408	3
999	3411	0
